time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-29 21:00:00,21.8,88,0.0,14.3
2026-08-29 22:00:00,21.5,90,0.0,14.2
2026-08-29 23:00:00,21.3,92,0.0,14.0
2026-08-30 00:00:00,20.9,94,0.0,13.1
2026-08-30 01:00:00,20.5,95,0.0,12.1
2026-08-30 02:00:00,20.3,96,0.0,11.5
2026-08-30 03:00:00,20.1,97,0.0,11.5
2026-08-30 04:00:00,20.1,97,0.0,12.1
2026-08-30 05:00:00,20.4,94,0.0,12.9
2026-08-30 06:00:00,21.1,89,0.0,14.5
2026-08-30 07:00:00,22.0,84,0.0,16.6
2026-08-30 08:00:00,23.2,77,0.0,18.5
2026-08-30 09:00:00,24.7,70,0.1,19.2
2026-08-30 10:00:00,26.4,62,0.1,19.4
2026-08-30 11:00:00,27.8,57,0.1,19.9
2026-08-30 12:00:00,28.9,53,0.1,20.9
2026-08-30 13:00:00,29.6,51,0.1,22.2
2026-08-30 14:00:00,29.8,50,0.1,23.1
2026-08-30 15:00:00,29.2,51,0.1,23.6
2026-08-30 16:00:00,27.9,55,0.1,23.6
2026-08-30 17:00:00,26.6,59,0.1,23.0
2026-08-30 18:00:00,25.3,65,0.0,21.3
2026-08-30 19:00:00,24.0,73,0.0,19.0
2026-08-30 20:00:00,22.9,80,0.0,17.0
2026-08-30 21:00:00,22.1,84,0.0,15.7
2026-08-30 22:00:00,21.6,87,0.0,14.8
2026-08-30 23:00:00,21.3,88,0.0,14.1
2026-08-31 00:00:00,21.1,91,0.0,13.8
2026-08-31 01:00:00,20.6,94,0.0,13.3
2026-08-31 02:00:00,20.2,96,0.0,12.9
2026-08-31 03:00:00,20.0,97,0.0,12.6
2026-08-31 04:00:00,20.0,95,0.0,12.5
2026-08-31 05:00:00,20.4,92,0.0,12.8
2026-08-31 06:00:00,21.4,86,0.0,13.3
2026-08-31 07:00:00,22.8,77,0.0,14.6
2026-08-31 08:00:00,24.5,68,0.0,15.9
2026-08-31 09:00:00,26.3,60,0.0,17.5
2026-08-31 10:00:00,27.7,55,0.0,18.7
2026-08-31 11:00:00,28.7,51,0.0,19.8
2026-08-31 12:00:00,29.1,50,0.1,20.6
2026-08-31 13:00:00,29.2,49,0.1,21.2
2026-08-31 14:00:00,29.1,50,0.1,21.7
2026-08-31 15:00:00,28.8,51,0.1,21.9
2026-08-31 16:00:00,28.3,53,0.1,21.8
2026-08-31 17:00:00,27.7,55,0.1,21.2
2026-08-31 18:00:00,26.9,58,0.0,20.0
2026-08-31 19:00:00,25.9,63,0.0,18.2
2026-08-31 20:00:00,24.6,69,0.0,16.0
2026-08-31 21:00:00,23.4,76,0.0,14.1
2026-08-31 22:00:00,22.3,82,0.0,12.6
2026-08-31 23:00:00,21.4,88,0.0,11.5
